"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"AFG",2019,"South Asia","Afghanistan","AFG",37769499,25.754,36.466,4.87,7,NA,0.124495985791329,NA,0.49705607,38.125,1.17096838242129,0.297563650500103
"ALB",2019,"Europe & Central Asia","Albania","ALB",2854191,61.229,10.343,1.414,6,76.2791946495763,7.79792048386519,3.91623997688293,2.86730385,91.25,1.28080596201472,1.74946245713759
"DZA",2019,"Middle East & North Africa","Algeria","DZA",42705368,73.189,23.298,2.988,6,51.8097384415762,0.804144058246544,6.03690671920776,4.06651545,57.5,5.99969025937654,3.99440182789199
"ASM",2019,"East Asia & Pacific","American Samoa","ASM",47321,87.147,NA,NA,6,156.568778979907,NA,NA,NA,NA,NA,NA
"AND",2019,"Europe & Central Asia","Andorra","AND",76343,87.984,7,NA,6,NA,NA,3.15060997009277,5.30793858,NA,NA,6.2872038038851
"AGO",2019,"Sub-Saharan Africa","Angola","AGO",32353588,66.177,39.725,5.442,6,57.8295381183036,-5.7808131444487,2.07306432723999,1.09448123,73.125,1.73907015919852,0.753638205444169
"ATG",2019,"Latin America & Caribbean","Antigua and Barbuda","ATG",92117,24.506,11.485,1.468,5,137.625175755884,7.43332407630785,3.4573450088501,2.55713224,66.25,NA,5.52558159731646
"ARG",2019,"Latin America & Caribbean","Argentina","ARG",44938712,91.991,14.783,1.994,6,32.6306150458499,1.48500687570697,4.77759981155396,6.05942106,76.25,0.699696134379197,3.74202981162433
"ARM",2019,"Europe & Central Asia","Armenia","ARM",2820602,63.219,12.892,1.575,6,96.1141541288708,0.736361516844353,2.57191228866577,1.41167367,85,4.78770584078564,2.1965523671897
"ABW",2019,"Latin America & Caribbean","Aruba","ABW",106442,43.546,9.138,1.486,6,145.343572735289,-2.21528256776249,NA,NA,NA,NA,NA
"AUS",2019,"East Asia & Pacific","Australia","AUS",25334826,86.124,12.1,1.657,5,45.7489633556611,2.79345368293896,5.13429021835327,7.5498395,96.875,1.88104345418486,15.5990453615115
"AUT",2019,"Europe & Central Asia","Austria","AUT",8879920,58.515,9.6,1.46,6,107.892514611522,-2.78770571216157,5.21750020980835,7.84675264,94.375,0.75035965749035,7.26333120118199
"AZE",2019,"Europe & Central Asia","Azerbaijan","AZE",10024283,56.031,14.1,1.81,6,85.8181454084561,3.12183056112494,3.1764600276947,1.27820647,78.75,3.87341170306515,3.54349533028946
"BHS",2019,"Latin America & Caribbean","Bahamas, The","BHS",404557,83.132,11.487,1.398,5,72.3992434162665,3.6927818725524,2.7009744644165,3.08020306,81.25,NA,6.48289363427156
"BHR",2019,"Middle East & North Africa","Bahrain","BHR",1494188,89.394,13.198,1.857,6,141.700834964514,4.00518862174685,2.38460445404053,2.3075155,46.25,4.02986101554975,22.063354812112
"BGD",2019,"South Asia","Bangladesh","BGD",165516222,37.405,18.35,2.031,6,31.5780512814675,0.543233710331666,1.68138802051544,0.51866281,49.375,1.24410082330294,0.559733655592985
"BRB",2019,"Latin America & Caribbean","Barbados","BRB",280180,31.158,10.885,1.623,5,80.8550673082324,4.03231784838329,4.11122989654541,2.77706695,76.875,NA,4.16614319366122
